vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
Ourkids Alnass,Clothing,Owned stock,HOLD,1626,1021,1318,81.1,92.7,34067864,13192873,38.7,25.7,4890862,0,2.7,4.27,2.8,2026-08-19,5,L7,116462,580993,1481240,22181894,8.1,21.8,0.37,0,0
Playmore,Clothing,Owned stock,STOP BUYING — work the stock down,3512,1982,1993,56.7,92.2,29543651,5285733,17.9,8.6,9682326,0,0.55,2.51,4.8,2026-08-19,5,L7,178183,1840600,7424078,34482827,40.4,8.8,4.62,3617846,0
Al Sayad,Clothing,Owned stock,HOLD,2279,920,1053,46.2,86.0,20926694,5904034,28.2,14.4,2954527,0,2.0,5.08,2.4,2026-08-23,1,L7,727756,1586177,2134913,16067191,11.6,9.3,1.25,0,0
Multicom,Baby Essentials,Owned stock,BUY MORE — starved,117,48,34,29.1,74.9,17746949,5041930,28.4,10.7,1446176,0,3.49,8.79,1.4,2026-08-13,11,L30,0,830467,2777136,11519027,36.0,24.4,1.47,0,1200703
Junior,Clothing,Owned stock,BUY MORE — starved,3341,1049,1071,32.1,90.3,14561254,3995919,27.4,17.7,1209788,0,3.3,8.73,1.4,2026-08-23,1,L7,119442,378783,600411,9330280,3.3,6.2,0.53,0,991323
I.Wear,Clothing,Owned stock,HOLD,1102,746,885,80.3,92.9,13982503,4501936,32.2,42.2,4048577,0,1.11,2.34,5.1,2026-07-09,46,L90,0,0,1920438,11616300,10.5,7.5,1.4,0,0
Cherries,Clothing,Owned stock,HOLD,2628,1236,1278,48.6,96.8,10274818,3633193,35.4,22.6,2893914,0,1.26,2.3,5.2,2026-08-23,1,L7,60000,60000,1458195,7467220,7.9,5.9,1.35,0,0
ELshenawy,Toys,Consignment,WIDEN — no capital at risk,2664,1144,702,26.4,66.3,10065751,2127050,21.1,8.7,0,1692232,,,,2026-07-29,26,L30,0,0,0,0,0.0,8.1,,0,0
Pompelo,Clothing,Consignment,WIDEN — no capital at risk,1319,1058,1156,87.6,98.3,9488728,2148571,22.6,9.3,0,2944108,,,,2026-08-24,0,L7,0,0,0,0,0.0,3.6,,0,0
King Costumes,Party,Consignment,RENEGOTIATE MARGIN,638,9,0,0.0,,7652799,1402018,18.3,15.7,0,3900,,,,2026-05-18,98,L180,0,0,0,0,0.0,32.5,,0,0
Awlad Farghaly,School,Owned stock,STOP BUYING — work the stock down,545,403,367,67.3,82.4,7579705,2416373,31.9,19.8,2602208,0,0.93,1.98,6.0,2026-08-06,18,L30,0,3983849,4224591,4515370,17.4,17.1,1.02,1311375,0
M Sherbeny-clothing,Clothing,Owned stock,BUY MORE — starved,1347,589,601,44.6,87.9,7083146,2239565,31.6,9.0,710978,0,3.15,6.81,1.8,2026-07-19,36,L90,0,0,171890,4405699,0.9,3.5,0.27,0,298101
Al Kawther.con,Baby Essentials,Consignment,RENEGOTIATE MARGIN,585,416,386,66.0,76.1,6438878,1215853,18.9,19.5,0,2642234,,,,2026-07-19,36,L90,0,0,0,0,0.0,5.6,,0,0
BZ-SCHOOL,School,Owned stock,STOP BUYING — work the stock down,325,189,168,51.7,59.5,6132012,1083201,17.7,20.5,1335920,0,0.81,3.78,3.2,2026-08-11,13,L30,0,166290,5291010,5291010,21.8,9.4,2.32,73717,0
For Baby Consignment,Toys,Consignment,WIDEN — no capital at risk,742,319,292,39.4,69.6,5766156,1311378,22.7,8.7,0,551831,,,,2026-07-12,43,L90,0,0,0,0,0.0,5.7,,0,0
General,Toys,Owned stock,BUY MORE — starved,2704,663,238,8.8,54.8,5483717,1712789,31.2,3.8,283363,0,6.04,13.31,0.9,2026-08-20,4,L7,29420,99650,746715,3089349,26.5,3.7,7.18,0,502247
Egy Trading co.,Various,Owned stock,STOP BUYING — work the stock down,298,118,92,30.9,76.9,5416091,1035138,19.1,25.6,1142889,0,0.91,3.83,3.1,2026-07-30,25,L30,0,566652,3301867,5154484,31.7,6.5,4.84,47651,0
Egypt,Toys,Consignment,WIDEN — no capital at risk,983,604,369,37.5,65.0,5309099,1472144,27.7,5.2,0,1692961,,,,2026-05-06,110,L180,0,0,0,0,0.0,6.4,,0,0
Selection Consignment,Toys,Consignment,WIDEN — no capital at risk,1015,244,187,18.4,38.0,5245562,1387050,26.4,10.9,560,370269,,,,2026-05-17,99,L180,0,0,0,0,0.0,5.7,,0,0
O.kids misc,Party,Owned stock,BUY MORE — starved,252,131,131,52.0,90.6,5222865,2853123,54.6,37.2,249170,0,11.45,9.51,1.3,2026-08-05,19,L30,0,38400,141720,1826348,263.6,55.9,4.72,0,244526
Jespring,Clothing,Owned stock,HOLD,1252,618,603,48.2,73.5,5083530,1683890,33.1,24.8,1230061,0,1.37,2.76,4.3,2026-06-07,78,L90,0,0,74264,3535247,0.4,2.8,0.15,0,0
Al Safa Co,Toys,Consignment,RENEGOTIATE MARGIN,138,81,13,9.4,16.0,4969225,777474,15.6,6.7,0,1140657,,,,2026-08-20,4,L7,0,0,0,0,0.0,3.3,,0,0
Bright Star-Consi,Baby Essentials,Consignment,WIDEN — no capital at risk,619,161,95,15.3,15.4,4954717,1184771,23.9,6.5,0,378805,,,,2026-04-24,122,L180,0,0,0,0,0.0,4.5,,0,0
Step One,Baby Essentials,Consignment,RENEGOTIATE MARGIN,1133,521,488,43.1,85.9,4823573,677054,14.0,17.7,0,769811,,,,2026-07-30,25,L30,0,0,0,0,0.0,3.3,,0,0
cecil,Toys,Owned stock,OVER-BOUGHT vs category — pause,419,232,221,52.7,86.1,4759692,1396561,29.3,11.9,722847,0,1.93,4.65,2.6,2026-08-11,13,L30,0,498122,498122,3012534,17.7,4.3,4.13,0,0
Happy Baby,Baby Essentials,Owned stock,BUY MORE — starved,425,68,50,11.8,25.2,4611919,1400358,30.4,4.9,125851,0,11.13,25.52,0.5,2026-08-02,22,L30,0,22650,440815,1897360,5.7,7.0,0.82,0,543224
Bumber- Baby,Clothing,Owned stock,HOLD,1219,366,440,36.1,96.5,4600573,1340373,29.1,10.4,559198,0,2.4,5.83,2.1,2026-06-07,78,L90,0,0,100800,3232994,0.5,2.2,0.25,0,0
Mega Mix,Toys,Consignment,WIDEN — no capital at risk,1458,793,672,46.1,68.0,4333269,920956,21.3,8.1,0,1085541,,,,2026-06-22,63,L90,0,0,0,0,0.0,3.8,,0,0
Papillion,Clothing,Owned stock,HOLD,931,417,456,49.0,97.4,4209792,1287813,30.6,23.2,619869,0,2.08,4.71,2.5,2026-08-18,6,L7,27492,27492,50506,3299576,0.3,2.1,0.13,0,0
1000 Photo,Various,Owned stock,STOP BUYING — work the stock down,37,33,30,81.1,99.3,4022944,352988,8.8,10.8,366774,0,0.96,10.01,1.2,2026-08-18,6,L7,277202,335946,2934480,3683790,28.1,3.6,7.82,0,0
Glossy Bird,School,Owned stock,BUY MORE — starved,69,31,29,42.0,43.5,4002907,1069951,26.7,12.4,198278,0,5.4,14.79,0.8,2026-08-11,13,L30,0,2640,2301239,2301239,9.5,9.3,1.02,0,412754
Minlo,School,Owned stock,HOLD,106,65,41,38.7,71.5,3987502,923078,23.1,16.5,424329,0,2.18,7.22,1.7,2026-08-24,0,L7,246275,254233,1552312,3013131,6.4,5.6,1.14,0,0
Jello,Clothing,Owned stock,STOP BUYING — work the stock down,543,358,447,82.3,98.6,3962016,346101,8.7,10.6,885126,0,0.39,4.09,2.9,2025-12-31,236,L365,0,0,0,2008552,0.0,0.6,,0,0
Saba Toys,Toys,Consignment,WIDEN — no capital at risk,775,419,351,45.3,78.7,3922481,892863,22.8,7.7,0,711817,,,,2026-07-21,34,L90,0,0,0,0,0.0,3.8,,0,0
Prima,Baby Essentials,Owned stock,OVER-BOUGHT vs category — pause,128,91,88,68.8,96.6,3921820,1081389,27.6,13.6,648031,0,1.67,4.38,2.7,2026-08-13,11,L30,0,259147,676724,2968482,8.8,5.4,1.64,0,0
FunTooTrade-Consignment,Toys,Consignment,WIDEN — no capital at risk,902,361,322,35.7,59.0,3780363,863401,22.8,9.7,0,517172,,,,2026-07-28,27,L30,0,0,0,0,0.0,3.7,,0,0
Prime,Toys,Owned stock,BUY MORE — starved,779,218,171,22.0,81.8,3760628,1380478,36.7,5.1,300377,0,4.6,7.92,1.5,2026-07-22,33,L90,0,0,741219,1939739,26.3,4.4,5.94,0,195488
Zero to Five,Various,Owned stock,HOLD,58,43,41,70.7,100.0,3754266,1389299,37.0,22.4,589025,0,2.36,4.02,3.0,2026-08-20,4,L7,421708,421708,720534,2492961,6.9,9.6,0.72,0,0
Bingo,Toys,Owned stock,LIST IT BEFORE BUYING MORE,529,190,135,25.5,62.0,3712654,1138026,30.7,6.5,546386,0,2.08,4.71,2.5,2026-08-13,11,L30,0,53321,296901,1541927,10.5,4.7,2.23,0,0
3M,School,Owned stock,STOP BUYING — work the stock down,198,94,84,42.4,71.8,3477800,892590,25.7,18.6,1512500,0,0.59,1.71,7.0,2026-07-11,44,L90,0,0,3311000,3311000,13.6,7.8,1.76,866198,0
Eagle Trade,Toys,Owned stock,OVER-BOUGHT vs category — pause,1052,465,388,36.9,64.1,3407685,932742,27.4,11.1,650657,0,1.43,3.8,3.2,2026-08-23,1,L7,36318,107026,137686,1984592,4.9,2.2,2.21,31921,0
Awlad Abd Alrasul,Toys,Owned stock,BUY MORE — starved,740,148,99,13.4,29.4,3318826,1052234,31.7,9.9,89351,0,11.78,25.37,0.5,2026-07-25,30,L30,0,33940,281900,1670576,10.0,4.2,2.4,0,382856
Cubs -season,School,Consignment,RENEGOTIATE MARGIN,934,364,353,37.8,93.4,3300632,568263,17.2,13.4,0,3315463,,,,2026-08-16,8,L30,0,0,0,0,0.0,3.2,,0,0
Cubs -shoes-consing,Clothing,Consignment,WIDEN — no capital at risk,604,502,526,87.1,100.0,3283732,690093,21.0,18.4,0,3002624,,,,2026-06-24,61,L90,0,0,0,0,0.0,0.8,,0,0
Dahab,Baby Essentials,Owned stock,BUY MORE — starved,4,3,3,75.0,100.0,3277380,1422604,43.4,8.3,101522,0,14.01,18.27,0.7,2026-08-11,13,L30,0,109900,434850,1493070,5.6,5.9,0.95,0,284890
Solang,Clothing,Owned stock,HOLD,1061,441,441,41.6,96.7,3245401,1014817,31.3,7.7,667639,0,1.52,3.34,3.6,2026-06-23,62,L90,0,0,117308,1803111,0.6,1.7,0.38,0,0
Petit Bebe,Baby Essentials,Owned stock,OVER-BOUGHT vs category — pause,273,181,170,62.3,84.5,2756955,643860,23.4,17.6,397341,0,1.62,5.32,2.3,2026-08-11,13,L30,0,276041,452601,2020823,5.9,2.9,2.0,0,0
Star Toys,Toys,Owned stock,BUY MORE — starved,708,97,48,6.8,58.3,2740461,910042,33.2,8.1,104120,0,8.74,17.58,0.7,2026-08-24,0,L7,18560,218560,218560,1441368,7.8,3.0,2.61,0,277217
Dream,Clothing,Owned stock,FIX MARGIN BEFORE REORDERING,883,330,424,48.0,78.3,2711484,535888,19.8,9.8,440251,0,1.22,4.94,2.4,2026-05-24,92,L180,0,0,0,2199260,0.0,0.9,,0,0
El Nasr Clothing and Textaile Co.(Kabo),Clothing,Owned stock,HOLD,449,329,429,95.5,100.0,2700166,1194021,44.2,15.5,337799,0,3.53,4.46,2.7,2026-05-14,102,L180,0,0,0,1611286,0.0,2.0,,0,0
Al Saeed-con,Toys,Consignment,WIDEN — no capital at risk,517,288,239,46.2,77.4,2656854,735633,27.7,8.2,0,460334,,,,2026-06-10,75,L90,0,0,0,0,0.0,3.1,,0,0
batal,Various,Owned stock,LIST IT BEFORE BUYING MORE,1124,696,68,6.0,6.3,2527907,1346981,53.3,2.6,261012,0,5.16,4.52,2.7,2026-07-29,26,L30,0,93948,369402,819109,3.5,7.8,0.45,0,0
step right,Clothing,Owned stock,OVER-BOUGHT vs category — pause,282,168,165,58.5,91.6,2430940,829599,34.1,33.2,764016,0,1.09,2.1,5.7,2026-08-12,12,L30,0,625480,1032078,1762866,5.6,1.3,4.26,363681,0
Bakier,School,Owned stock,OVER-BOUGHT vs category — pause,39,22,16,41.0,74.3,2401857,611975,25.5,14.8,522722,0,1.17,3.42,3.5,2026-07-29,26,L30,0,290154,1369718,1773722,5.6,3.7,1.51,75252,0
Morenella,Clothing,Consignment,RENEGOTIATE MARGIN,714,610,610,85.4,91.1,2312428,289038,12.5,11.4,0,1340461,,,,2026-08-23,1,L7,0,0,0,0,0.0,0.5,,0,0
Solang-Consing,Clothing,Consignment,WIDEN — no capital at risk,183,162,158,86.3,94.5,2234132,509637,22.8,7.8,0,945558,,,,2026-08-24,0,L7,0,0,0,0,0.0,0.7,,0,0
tokyo,School,Owned stock,LIST IT BEFORE BUYING MORE,557,366,286,51.3,68.2,2222691,791371,35.6,14.6,506002,0,1.56,2.83,4.2,2026-06-21,64,L90,0,0,358122,1433098,1.5,6.5,0.23,0,0
Modern.con,Toys,Consignment,RENEGOTIATE MARGIN,333,209,190,57.1,89.1,2216049,391792,17.7,8.0,0,505228,,,,2026-08-12,12,L30,0,0,0,0,0.0,1.7,,0,0
Golden Bag,School,Owned stock,LIST IT BEFORE BUYING MORE,117,44,16,13.7,18.4,2021115,476134,23.6,35.5,208350,0,2.29,7.42,1.6,2026-08-19,5,L7,318500,318500,1505500,1505500,6.2,4.1,1.5,0,0
SMAF for Trade and Industry,Baby Essentials,Consignment,RENEGOTIATE MARGIN,10,10,8,80.0,100.0,1907948,305495,16.0,30.8,0,379745,,,,2026-08-22,2,L7,0,0,0,0,0.0,1.7,,0,0
Ourkids Quokka,Clothing,Owned stock,STOP BUYING — work the stock down,195,162,158,81.0,75.0,1887695,697783,37.0,7.8,1243890,0,0.56,0.96,12.5,2026-07-26,29,L30,0,660,493730,2244890,2.7,1.2,2.33,946412,0
Souq mamyy,Baby Essentials,Owned stock,OVER-BOUGHT vs category — pause,109,58,19,17.4,38.5,1834913,479125,26.1,5.9,397464,0,1.21,3.41,3.5,2026-08-11,13,L30,0,372865,739956,1544044,9.6,2.4,3.93,58517,0
Medicatechnology,Baby Essentials,Consignment,WIDEN — no capital at risk,24,8,5,20.8,27.9,1793955,452955,25.2,13.0,36385,0,,,,2026-06-21,64,L90,0,0,270262,1118693,3.5,2.3,1.56,0,0
Nahdet Miser-School-Consign,School,Consignment,WIDEN — no capital at risk,110,45,44,40.0,100.0,1736039,404133,23.3,25.4,0,588760,,,,2026-07-27,28,L30,0,0,0,0,0.0,3.5,,0,0
Design,School,Owned stock,STOP BUYING — work the stock down,126,95,93,73.8,98.1,1728945,455175,26.3,13.6,1796337,0,0.25,0.71,16.9,2026-07-16,39,L90,0,0,2807720,3773812,11.6,3.5,3.27,1477894,0
Mera,Various,Owned stock,BUY MORE — starved,117,22,20,17.1,56.3,1719029,461341,26.8,9.9,145561,0,3.17,8.64,1.4,2026-06-10,75,L90,0,0,284683,1253552,2.7,3.9,0.7,0,116457
Bebic for kids,Clothing,Owned stock,BUY MORE — starved,431,176,157,36.4,86.7,1655141,581705,35.1,12.9,157424,0,3.7,6.82,1.8,2026-06-22,63,L90,0,0,121059,950045,0.7,1.0,0.69,0,66208
TOM AND SPIKE,Toys,Owned stock,BUY MORE — starved,85,16,7,8.2,0.0,1652908,437087,26.4,4.9,143504,0,3.05,8.47,1.4,2026-07-29,26,L30,0,1184,2534,858483,0.1,1.9,0.05,0,109792
JOKY-Cash,Clothing,Owned stock,OVER-BOUGHT vs category — pause,468,312,407,87.0,94.4,1604149,421242,26.3,23.0,358729,0,1.17,3.3,3.6,2026-06-25,60,L90,0,0,208057,1379059,1.1,0.7,1.62,63002,0
Karzma Cash,Clothing,Owned stock,STOP BUYING — work the stock down,327,253,221,67.6,98.9,1512216,431645,28.5,7.7,812197,0,0.53,1.33,9.0,2026-04-24,122,L180,0,0,0,870855,0.0,0.7,,542054,0
Mohamed Abd El Rahim,Summer,Owned stock,BUY MORE — starved,202,103,94,46.5,95.9,1510536,486337,32.2,15.2,130864,0,3.72,7.83,1.5,2026-07-16,39,L90,0,0,122878,771875,29.2,18.2,1.6,0,82511
alawayil,Toys,Consignment,WIDEN — no capital at risk,86,18,7,8.1,62.3,1507639,615388,40.8,10.3,17449,0,,,,2026-05-21,95,L180,0,0,0,719569,0.0,2.2,,0,0
Sharo-Cash,Clothing,Owned stock,HOLD,272,134,122,44.9,97.6,1463806,417160,28.5,5.5,269056,0,1.55,3.89,3.1,2026-06-07,78,L90,0,0,37800,1092430,0.2,0.7,0.3,0,0
Al Hamed-SCOOTER,Toys,Owned stock,STOP BUYING — work the stock down,234,58,23,9.8,35.7,1430557,384172,26.9,5.0,394194,0,0.97,2.65,4.5,2026-08-20,4,L7,1400,314580,322930,1111870,11.5,1.7,6.91,132598,0
kiddy,Baby Essentials,Consignment,WIDEN — no capital at risk,131,91,88,67.2,97.3,1429541,327369,22.9,10.2,0,205273,,,,2026-08-19,5,L7,0,0,0,0,0.0,1.7,,0,0
Al  Maktab Al Hadith,Toys,Consignment,WIDEN — no capital at risk,225,195,179,79.6,88.5,1410721,334846,23.7,11.7,0,491266,,,,2026-08-06,18,L30,0,0,0,0,0.0,1.4,,0,0
S M C,Baby Essentials,Owned stock,BUY MORE — starved,28,15,15,53.6,94.6,1398285,342278,24.5,7.7,68321,0,5.01,15.46,0.8,2026-07-28,27,L30,0,145596,335075,1037501,4.3,1.7,2.52,0,151680
