vendor,dominant_category,model,next_dollar_verdict,skus,stocked_skus,live_on_site_skus,listed_pct_of_skus,listed_pct_of_in_store_rev,ttm_revenue_EGP,ttm_gross_profit_EGP,gross_margin_pct,online_share_pct,owned_inventory_at_cost_EGP,consigned_inventory_at_cost_EGP,GMROI,stock_turns,months_of_cover,last_received,days_since_receipt,recency_bucket,received_L7_EGP,received_L30_EGP,received_L90_EGP,received_L365_EGP,share_of_category_L90_intake_pct,share_of_category_gross_profit_pct,intake_vs_profit_index,cash_to_release_EGP,cash_to_deploy_EGP
T.W.K-Accessories,Clothing,Owned stock,TOO SMALL TO RANK,1078,192,4,0.4,0.0,54094,23812,44.0,2.0,15986,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
BeeFun,Clothing,Owned stock,TOO SMALL TO RANK,40,39,28,70.0,28.2,51486,14396,28.0,38.0,22840,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Over Seas-Consing,Baby Essentials,Consignment,RENEGOTIATE MARGIN,17,8,7,41.2,53.2,50746,5647,11.1,24.8,0,26878,,,,2026-08-15,9,L30,0,0,0,0,0.0,0.0,,0,0
Solo tex,Clothing,Owned stock,TOO SMALL TO RANK,46,10,22,47.8,100.0,49471,13942,28.2,13.1,0,804,,,,2026-01-28,208,L365,0,0,0,0,0.0,0.0,,0,0
Eftah Topic,Toys,Owned stock,TOO SMALL TO RANK,6,6,6,100.0,100.0,46267,12821,27.7,0.3,0,15930,,,,2026-02-16,189,L365,0,0,0,0,0.0,0.1,,0,0
Eleven Group for E-Marketing,School,Owned stock,TOO SMALL TO RANK,11,11,11,100.0,100.0,46152,10315,22.4,7.9,0,38373,,,,2026-08-20,4,L7,0,0,0,0,0.0,0.1,,0,0
Dream Land,Toys,Owned stock,TOO SMALL TO RANK,54,5,1,1.9,0.0,39630,8983,22.7,0.0,30700,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
puzzle-shoes,Clothing,Owned stock,TOO SMALL TO RANK,40,18,12,30.0,,35562,9123,25.7,17.0,5737,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Alia Publishing House,Various,Owned stock,TOO SMALL TO RANK,45,26,17,37.8,71.1,34270,8333,24.3,15.9,0,18016,,,,2025-09-15,343,L365,0,0,0,0,0.0,0.1,,0,0
SM,Baby Essentials,Owned stock,TOO SMALL TO RANK,9,4,0,0.0,,34167,23171,67.8,8.6,203,0,,,,,,Never,0,0,0,0,0.0,0.1,,0,0
Quokka,Clothing,Owned stock,TOO SMALL TO RANK,24,23,2,8.3,,33404,15785,47.3,2.6,11292,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Carter's made in China,Clothing,Owned stock,TOO SMALL TO RANK,226,28,30,13.3,21.1,32095,4797,14.9,27.1,9325,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Fashion Land,Clothing,Owned stock,TOO SMALL TO RANK,66,10,0,0.0,,29158,7777,26.7,1.4,3690,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
DANDA,Clothing,Owned stock,TOO SMALL TO RANK,45,43,26,57.8,19.8,28584,1362,4.8,31.4,32585,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
HITCH,Various,Owned stock,TOO SMALL TO RANK,2,2,2,100.0,100.0,28468,3740,13.1,8.3,0,37666,,,,2026-07-22,33,L90,0,0,0,0,0.0,0.0,,0,0
For Baby,Toys,Owned stock,TOO SMALL TO RANK,122,4,1,0.8,,26794,7338,27.4,15.7,1682,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
mix and max,Baby Essentials,Owned stock,TOO SMALL TO RANK,26,0,0,0.0,,26546,4736,17.8,4.9,0,0,,,,2025-09-24,334,L365,0,0,0,0,0.0,0.0,,0,0
Libya for Import and Export,Baby Essentials,Owned stock,TOO SMALL TO RANK,123,4,2,1.6,,24812,4328,17.4,41.3,0,667,,,,2025-10-22,306,L365,0,0,0,0,0.0,0.0,,0,0
AL Amira Company,Baby Essentials,Owned stock,TOO SMALL TO RANK,57,1,0,0.0,,24804,6092,24.6,5.6,4850,0,,,,2025-12-09,258,L365,0,0,0,4210,0.0,0.0,,0,0
Easy wear,Clothing,Owned stock,TOO SMALL TO RANK,11,11,0,0.0,,23809,3547,14.9,16.2,6487,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Bond & Bloom,Various,Owned stock,TOO SMALL TO RANK,4,0,0,0.0,,23772,4430,18.6,36.9,0,0,,,,2026-03-04,173,L180,0,0,0,0,0.0,0.0,,0,0
HUN-Assortment,Party,Owned stock,TOO SMALL TO RANK,435,123,12,2.8,0.0,22766,10246,45.0,0.0,9505,0,,,,,,Never,0,0,0,0,0.0,0.2,,0,0
Nahdet Miser for media -Consign,Various,Consignment,RENEGOTIATE MARGIN,49,18,10,20.4,53.7,20847,2683,12.9,10.5,0,2048,,,,2026-03-29,148,L180,0,0,0,0,0.0,0.0,,0,0
The Egyptian Company for Industry and DevelopmentZZ(Nomix),School,Owned stock,TOO SMALL TO RANK,10,10,10,100.0,100.0,19692,4521,23.0,25.3,0,62190,,,,2026-07-21,34,L90,0,0,0,0,0.0,0.0,,0,0
Party,Party,Owned stock,TOO SMALL TO RANK,107,32,0,0.0,0.0,18906,14406,76.2,0.0,1186,0,,,,,,Never,0,0,0,0,0.0,0.4,,0,0
Casio,Toys,Owned stock,TOO SMALL TO RANK,5,1,1,20.0,,17238,2497,14.5,0.0,7196,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
Novelty Trade for Technology,Various,Owned stock,TOO SMALL TO RANK,9,9,9,100.0,100.0,14159,5234,37.0,11.2,0,10800,,,,2026-08-10,14,L30,0,0,0,0,0.0,0.1,,0,0
Bingo Global,Toys,Owned stock,TOO SMALL TO RANK,122,15,2,1.6,0.0,12751,4184,32.8,4.1,2754,0,,,,,,Never,0,0,0,0,0.0,0.0,,0,0
